RuleSet,,,org.example.rules
GOLD,A5131,Condyloma latum,TRUE
GOLD,A5132,Syphilitic alopecia,TRUE
GOLD,A5139,Other secondary syphilis of skin,TRUE
GOLD,A5141,Secondary syphilitic meningitis,TRUE
GOLD,A5142,Secondary syphilitic female pelvic disease,TRUE
GOLD,A5143,Secondary syphilitic oculopathy,TRUE
GOLD,A5144,Secondary syphilitic nephritis,TRUE
GOLD,A5145,Secondary syphilitic hepatitis,TRUE
GOLD,A5146,Secondary syphilitic osteopathy,TRUE
GOLD,A5149,Other secondary syphilitic conditions,TRUE
GOLD,A515,"Early syphilis, latent",TRUE
GOLD,A519,"Early syphilis, unspecified",TRUE
GOLD,A5200,"Cardiovascular syphilis, unspecified",TRUE
GOLD,A5201,Syphilitic aneurysm of aorta,TRUE
GOLD,A5202,Syphilitic aortitis,TRUE
GOLD,A5203,Syphilitic endocarditis,TRUE
GOLD,A5204,Syphilitic cerebral arteritis,TRUE
GOLD,A5205,Other cerebrovascular syphilis,TRUE
GOLD,A5206,Other syphilitic heart involvement,TRUE
GOLD,A5209,Other cardiovascular syphilis,TRUE
GOLD,A5210,"Symptomatic neurosyphilis, unspecified",TRUE
GOLD,A5211,Tabes dorsalis,TRUE
GOLD,A5212,Other cerebrospinal syphilis,TRUE
GOLD,A5213,Late syphilitic meningitis,TRUE
GOLD,A5214,Late syphilitic encephalitis,TRUE
GOLD,A5215,Late syphilitic neuropathy,TRUE
GOLD,A5216,Charcot's arthropathy (tabetic),TRUE
GOLD,A5217,General paresis,TRUE
GOLD,A5219,Other symptomatic neurosyphilis,TRUE
GOLD,A522,Asymptomatic neurosyphilis,TRUE
GOLD,A523,"Neurosyphilis, unspecified",TRUE
GOLD,A5271,Late syphilitic oculopathy,TRUE
GOLD,A5272,Syphilis of lung and bronchus,TRUE
GOLD,A5273,Symptomatic late syphilis of other respiratory organs,TRUE
GOLD,A5274,Syphilis of liver and other viscera,TRUE
GOLD,A5275,Syphilis of kidney and ureter,TRUE
GOLD,A5276,Other genitourinary symptomatic late syphilis,TRUE
GOLD,A5277,Syphilis of bone and joint,TRUE
GOLD,A5278,Syphilis of other musculoskeletal tissue,TRUE
GOLD,A5279,Other symptomatic late syphilis,TRUE
GOLD,A528,"Late syphilis, latent",TRUE
GOLD,A529,"Late syphilis, unspecified",TRUE
GOLD,A530,"Latent syphilis, unspecified as early or late",TRUE
GOLD,A539,"Syphilis, unspecified",TRUE
GOLD,A5400,"Gonococcal infection of lower genitourinary tract, unspecified",TRUE
GOLD,A5401,"Gonococcal cystitis and urethritis, unspecified",TRUE
GOLD,A5402,"Gonococcal vulvovaginitis, unspecified",TRUE
GOLD,A5403,"Gonococcal cervicitis, unspecified",TRUE
GOLD,A5409,Other gonococcal infection of lower genitourinary tract,TRUE
GOLD,A541,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,TRUE
GOLD,A5421,Gonococcal infection of kidney and ureter,TRUE
GOLD,A5422,Gonococcal prostatitis,TRUE
GOLD,A5423,Gonococcal infection of other male genital organs,TRUE
GOLD,A5424,Gonococcal female pelvic inflammatory disease,TRUE
GOLD,A5429,Other gonococcal genitourinary infections,TRUE
GOLD,A5430,"Gonococcal infection of eye, unspecified",TRUE
GOLD,A5431,Gonococcal conjunctivitis,TRUE
GOLD,A5432,Gonococcal iridocyclitis,TRUE
GOLD,A5433,Gonococcal keratitis,TRUE
GOLD,A5439,Other gonococcal eye infection,TRUE
GOLD,A5440,"Gonococcal infection of musculoskeletal system, unspecified",TRUE
GOLD,A5441,Gonococcal spondylopathy,TRUE
GOLD,A5442,Gonococcal arthritis,TRUE
GOLD,A5443,Gonococcal osteomyelitis,TRUE
GOLD,A5449,Gonococcal infection of other musculoskeletal tissue,TRUE
GOLD,A545,Gonococcal pharyngitis,TRUE
GOLD,A546,Gonococcal infection of anus and rectum,TRUE
GOLD,A5481,Gonococcal meningitis,TRUE
GOLD,A5482,Gonococcal brain abscess,TRUE
GOLD,A5483,Gonococcal heart infection,TRUE
GOLD,A5484,Gonococcal pneumonia,TRUE
GOLD,A5485,Gonococcal peritonitis,TRUE
GOLD,A5486,Gonococcal sepsis,TRUE
GOLD,A5489,Other gonococcal infections,TRUE
GOLD,A549,"Gonococcal infection, unspecified",TRUE
GOLD,A55,Chlamydial lymphogranuloma (venereum),TRUE
GOLD,A5600,"Chlamydial infection of lower genitourinary tract, unspecified",TRUE
GOLD,A5601,Chlamydial cystitis and urethritis,TRUE
GOLD,A5602,Chlamydial vulvovaginitis,TRUE
GOLD,A5609,Other chlamydial infection of lower genitourinary tract,TRUE
GOLD,A5611,Chlamydial female pelvic inflammatory disease,TRUE
GOLD,A5619,Other chlamydial genitourinary infection,TRUE
GOLD,A562,"Chlamydial infection of genitourinary tract, unspecified",TRUE
GOLD,A563,Chlamydial infection of anus and rectum,TRUE
GOLD,A564,Chlamydial infection of pharynx,TRUE
GOLD,A568,Sexually transmitted chlamydial infection of other sites,TRUE
GOLD,A57,Chancroid,TRUE
GOLD,A58,Granuloma inguinale,TRUE
GOLD,A5900,"Urogenital trichomoniasis, unspecified",TRUE
GOLD,A5901,Trichomonal vulvovaginitis,TRUE
GOLD,A5902,Trichomonal prostatitis,TRUE
GOLD,A5903,Trichomonal cystitis and urethritis,TRUE
GOLD,A5909,Other urogenital trichomoniasis,TRUE
GOLD,A598,Trichomoniasis of other sites,TRUE
GOLD,A599,"Trichomoniasis, unspecified",TRUE
GOLD,A6000,"Herpesviral infection of urogenital system, unspecified",TRUE
GOLD,A6001,Herpesviral infection of penis,TRUE
GOLD,A6002,Herpesviral infection of other male genital organs,TRUE
GOLD,A6003,Herpesviral cervicitis,TRUE
GOLD,A6004,Herpesviral vulvovaginitis,TRUE
GOLD,A6009,Herpesviral infection of other urogenital tract,TRUE
GOLD,A601,Herpesviral infection of perianal skin and rectum,TRUE
GOLD,A609,"Anogenital herpesviral infection, unspecified",TRUE
GOLD,A630,Anogenital (venereal) warts,TRUE
GOLD,A638,Other specified predominantly sexually transmitted diseases,TRUE
GOLD,A64,Unspecified sexually transmitted disease,TRUE
GOLD,A65,Nonvenereal syphilis,TRUE
GOLD,A660,Initial lesions of yaws,TRUE
GOLD,A661,Multiple papillomata and wet crab yaws,TRUE
GOLD,A662,Other early skin lesions of yaws,TRUE
GOLD,A663,Hyperkeratosis of yaws,TRUE
GOLD,A664,Gummata and ulcers of yaws,TRUE
GOLD,A665,Gangosa,TRUE
GOLD,A666,Bone and joint lesions of yaws,TRUE
GOLD,A667,Other manifestations of yaws,TRUE
GOLD,A668,Latent yaws,TRUE
GOLD,A669,"Yaws, unspecified",TRUE
GOLD,A670,Primary lesions of pinta,TRUE
GOLD,A671,Intermediate lesions of pinta,TRUE
GOLD,A672,Late lesions of pinta,TRUE
GOLD,A673,Mixed lesions of pinta,TRUE
GOLD,A679,"Pinta, unspecified",TRUE
GOLD,A680,Louse-borne relapsing fever,TRUE
GOLD,A681,Tick-borne relapsing fever,TRUE
GOLD,A689,"Relapsing fever, unspecified",TRUE
GOLD,A690,Necrotizing ulcerative stomatitis,TRUE
GOLD,A691,Other Vincent's infections,TRUE
GOLD,A6920,"Lyme disease, unspecified",TRUE
GOLD,A6921,Meningitis due to Lyme disease,TRUE
GOLD,A6922,Other neurologic disorders in Lyme disease,TRUE
GOLD,A6923,Arthritis due to Lyme disease,TRUE
GOLD,A6929,Other conditions associated with Lyme disease,TRUE
GOLD,A698,Other specified spirochetal infections,TRUE
GOLD,A699,"Spirochetal infection, unspecified",TRUE
GOLD,A70,Chlamydia psittaci infections,TRUE
GOLD,A710,Initial stage of trachoma,TRUE
GOLD,A711,Active stage of trachoma,TRUE
GOLD,A719,"Trachoma, unspecified",TRUE
GOLD,A740,Chlamydial conjunctivitis,TRUE
GOLD,A7481,Chlamydial peritonitis,TRUE
GOLD,A7489,Other chlamydial diseases,TRUE
GOLD,A749,"Chlamydial infection, unspecified",TRUE
GOLD,A750,Epidemic louse-borne typhus fever due to Rickettsia prowazekii,TRUE
GOLD,A751,Recrudescent typhus [Brill's disease],TRUE
GOLD,A752,Typhus fever due to Rickettsia typhi,TRUE
GOLD,A753,Typhus fever due to Rickettsia tsutsugamushi,TRUE
GOLD,A759,"Typhus fever, unspecified",TRUE
GOLD,A770,Spotted fever due to Rickettsia rickettsii,TRUE
GOLD,A771,Spotted fever due to Rickettsia conorii,TRUE
GOLD,A772,Spotted fever due to Rickettsia siberica,TRUE
GOLD,A773,Spotted fever due to Rickettsia australis,TRUE
GOLD,A7740,"Ehrlichiosis, unspecified",TRUE
GOLD,A7741,Ehrlichiosis chafeensis [E. chafeensis],TRUE
GOLD,A7749,Other ehrlichiosis,TRUE
GOLD,A778,Other spotted fevers,TRUE
GOLD,A779,"Spotted fever, unspecified",TRUE
GOLD,A78,Q fever,TRUE
GOLD,A790,Trench fever,TRUE
GOLD,A791,Rickettsialpox due to Rickettsia akari,TRUE
GOLD,A7981,Rickettsiosis due to Ehrlichia sennetsu,TRUE
GOLD,A7989,Other specified rickettsioses,TRUE
GOLD,A799,"Rickettsiosis, unspecified",TRUE
GOLD,A800,"Acute paralytic poliomyelitis, vaccine-associated",TRUE
GOLD,A801,"Acute paralytic poliomyelitis, wild virus, imported",TRUE
GOLD,A802,"Acute paralytic poliomyelitis, wild virus, indigenous",TRUE
